HER (-5.313524770345186, 'uber')
LER (1.5247140458344624, 'je')
LER (1.522468254563867, 'tip')
LER (1.5193344659146708, 'redbullcanyoumakeit')
LER (1.5164439891849715, 'bowling')
LER (1.5112274479183536, 'wire')
LER (1.5027597687339995, 'hiv')
LER (1.5007227068307412, 'smarter')
LER (1.4997962439532011, 'fun')
LER (1.4968754535617763, 'travis')
LER (1.4966311284539664, 'number')
LER (1.495161838093378, '10k')
LER (1.4942149725926832, 'curious')
LER (1.4939121288930519, 'shaping')
LER (1.4833786991722633, 'suburb')
LER (1.4764787218926751, 'album')
LER (1.4750414062155739, 'tube')
LER (1.4732818480065122, 'ourfuture')
LER (1.4641699693378982, 'resources')
